,date,state,positive
842,2020-04-22,AR,421
843,2020-04-22,AG,110
844,2020-04-22,BC,150
845,2020-04-22,BH,336
846,2020-04-22,BN,137
847,2020-04-22,BT,338
848,2020-04-22,BV,348
849,2020-04-22,BR,19
850,2020-04-22,BZ,18
851,2020-04-22,CS,70
852,2020-04-22,CL,47
853,2020-04-22,CJ,261
854,2020-04-22,CT,213
855,2020-04-22,CV,168
856,2020-04-22,DB,89
857,2020-04-22,DJ,69
858,2020-04-22,GL,287
859,2020-04-22,GR,109
860,2020-04-22,GJ,25
861,2020-04-22,HR,19
862,2020-04-22,HD,405
863,2020-04-22,IL,141
864,2020-04-22,IS,179
865,2020-04-22,IF,207
866,2020-04-22,MM,65
867,2020-04-22,MH,47
868,2020-04-22,MS,312
869,2020-04-22,NT,384
870,2020-04-22,OT,17
871,2020-04-22,PH,51
872,2020-04-22,SM,48
873,2020-04-22,SJ,27
874,2020-04-22,SB,195
875,2020-04-22,SV,2372
876,2020-04-22,TR,95
877,2020-04-22,TM,385
878,2020-04-22,TL,35
879,2020-04-22,VS,68
880,2020-04-22,VL,22
881,2020-04-22,VN,211
882,2020-04-22,B,1050
883,2020-04-23,AB,161
884,2020-04-23,AR,439
885,2020-04-23,AG,114
886,2020-04-23,BC,134
887,2020-04-23,BH,348
888,2020-04-23,BN,148
889,2020-04-23,BT,393
890,2020-04-23,BV,373
891,2020-04-23,BR,19
892,2020-04-23,BZ,14
893,2020-04-23,CS,78
894,2020-04-23,CL,49
895,2020-04-23,CJ,278
896,2020-04-23,CT,222
897,2020-04-23,CV,165
898,2020-04-23,DB,88
899,2020-04-23,DJ,65
900,2020-04-23,GL,296
901,2020-04-23,GR,111
902,2020-04-23,GJ,26
903,2020-04-23,HR,18
904,2020-04-23,HD,437
905,2020-04-23,IL,148
906,2020-04-23,IS,195
907,2020-04-23,IF,214
908,2020-04-23,MM,67
909,2020-04-23,MH,48
910,2020-04-23,MS,325
911,2020-04-23,NT,405
912,2020-04-23,OT,20
913,2020-04-23,PH,52
914,2020-04-23,SM,53
915,2020-04-23,SJ,28
916,2020-04-23,SB,209
917,2020-04-23,SV,2417
918,2020-04-23,TR,96
919,2020-04-23,TM,403
920,2020-04-23,TL,35
921,2020-04-23,VS,69
922,2020-04-23,VL,22
923,2020-04-23,VN,207
924,2020-04-23,B,1100
925,2020-04-24,AB,159
926,2020-04-24,AR,471
927,2020-04-24,AG,117
928,2020-04-24,BC,136
929,2020-04-24,BH,360
930,2020-04-24,BN,150
931,2020-04-24,BT,407
932,2020-04-24,BV,382
933,2020-04-24,BR,20
934,2020-04-24,BZ,14
935,2020-04-24,CS,79
936,2020-04-24,CL,51
937,2020-04-24,CJ,292
938,2020-04-24,CT,222
939,2020-04-24,CV,168
940,2020-04-24,DB,91
941,2020-04-24,DJ,66
942,2020-04-24,GL,324
943,2020-04-24,GR,123
944,2020-04-24,GJ,31
